"sr","6","september","12"
"sr","8","september","0"
"sr","10","september","3"
"sr","4","september","2"
"sr","24","september","2"
"sr","30","september","4"
"sr","26","september","2"
"sr","28","august","6"
"sr","5","september","3"
"sr","29","august","15"
"sr","3","september","1"
"shaymoli","29","august","11"
"jonaki","29","august","3"
"sr","30","august","2"
"econo","29","august","3"
"econo","30","august","3"
"1","sr","dhaka","bagura","Non AC","600","08:00:00.00"
"2","econo","dhaka","lakshmipur","Non AC","600","13:00:00.00"
"3","jonaki","dhaka","lakshmipur","AC","500","17:02:00.00"
"5","hanif","dhaka","chittagong","AC","700","16:00:00.00"
"6","shaymoli","sylhet","dhaka","AC","600","20:00:00.00"
"7","brtc","dhaka","noakhali","AC","550","17:30:00.00"
"8","VSR","Dhaka","Khulna","AC","900","06:00:00.00"
"jonaki","2","january","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"ab","3","january","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"sr","4","september","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ab","free","free","free","free","free","free","free","free","free","free","free","free","ab","free","free","free","free","free","free","free"
"sr","6","september","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","ab","ab","free","free","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab","ab"
"sr","27","august","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"sr","5","september","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","ab","ab","free","free","free","ab","free","free","ab","ab","free","free","free","free","free","free","free","free","free","free","free"
"sr","8","september","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","ab","free","free","free","free","ab","free","free","ab","free","free","free","free","free","free","free","free","ab","free","free","free"
"sr","10","september","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ab","ab","free","free","free","ab","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"sr","24","september","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","ab","free","free","free","free","free","free","free","free","ab","free","free","free","free","free","free","free","free","free","free","free"
"sr","30","september","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","ab","free","free","free","free","free","free","free","free","ab","free","free","ab","free","free","free","free","ab","free","free","free"
"sr","26","september","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","free","free","free","free","free","ab","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"sr","28","august","1","0","0","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","ab","free","free","free","free","ab","free","free","ab","free","free","free","free","ab","ab","ab","free","free","free","free","free"
"sr","29","august","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","1","0","1","1","1","1","ab","ab","free","ab","ab","ab","ab","free","free","free","ab","ab","free","ab","ab","ab","free","ab","ab","ab","ab"
"sr","3","september","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","free","free","ab","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"shaymoli","29","august","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","free","free","free","free","free","free","free","free","free","free","ab","free","free","free","ab","ab","free","free","free","ab","ab"
"sr","30","august","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","ab","ab","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free","free"
"econo","29","august","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","free","free","free","free","free","free","free","free","free","abdullah29","abdullah29","free","free","free","free","abdullah29","free","free","free","free","free"
"econo","30","august","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","free","free","ab6","free","free","free","free","ab6","free","free","free","ab6","free","free","free","free","free","free","free","free","free"
"5","september","8","3650"
"4","september","0","0"
"24","september","0","0"
"30","september","4","2200"
"26","september","2","1100"
"28","august","6","3300"
"29","august","32","18150"
"3","september","1","550"
"30","august","5","2900"
"ab","19","september","sr","0"
"ab","26","september","sr","2"
"ab","26","september","tr","15"
"ab","28","august","sr","6"
"ab","5","september","sr","3"
"ab","29","august","sr","15"
"ab","3","september","sr","1"
"ab","29","august","shaymoli","11"
"ab","29","august","jonaki","3"
"ab","30","august","sr","2"
"abdullah29","29","august","econo","3"
"ab6","30","august","econo","3"
"6","piash3700","1234","22","1"
"18","admin","aiub12","22","1"
"23","jabed1","1234","22","1"
"33","zqc0","1","1","1"
"36","an2","1","1","1"
"37","an3","1","1","1"
"40","aaa","1","22","1"
"41","aaaq","1","22","1"
"42","aaa1","1","22","0"
"43","owner","aiub123","2","1"
"45","sasas","12","20","0"
"46","abdullah","125454","22","1"
"47","myst","123","22","1"
"48","piash37","1234","22","0"
"49","ab6","123","22","1"
